iter	Passed	Remaining
0	1	131
1	2	121
2	3	117
3	4	111
4	5	110
5	7	111
6	8	107
7	8	103
8	10	103
9	11	101
10	12	99
11	13	100
12	15	101
13	16	99
14	17	98
15	18	97
16	19	97
17	21	97
18	22	96
19	23	95
20	25	94
21	26	93
22	27	91
23	28	90
24	29	89
25	30	87
26	32	86
27	33	85
28	34	83
29	35	83
30	36	81
31	37	80
32	39	79
33	40	78
34	41	77
35	42	76
36	44	75
37	45	73
38	46	72
39	47	71
40	48	70
41	49	68
42	50	67
43	52	66
44	53	65
45	54	64
46	55	63
47	56	61
48	58	60
49	59	59
50	60	57
51	61	56
52	62	55
53	63	54
54	64	52
55	66	51
56	67	50
57	68	49
58	69	48
59	70	47
60	71	45
61	72	44
62	74	43
63	75	42
64	76	41
65	77	40
66	79	39
67	80	38
68	82	36
69	83	35
70	84	34
71	85	33
72	86	32
73	88	30
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	104	14
88	105	12
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
